fidx,alpha,embedding,kernel_index,kernel_id,dilation,threshold,triplet_str,kernel_str
0,0.002096309,0.41579667,64,K64,128,-0.016008767,3|4|5,"[-1,-1,-1,2,2,2,-1,-1,-1]"
1,2.31E-05,0.79174984,30,K30,96,0.340459748,1|2|5,"[-1,2,2,-1,-1,2,-1,-1,-1]"
2,0.001213878,0.4368183,55,K55,16,-0.419110681,2|4|6,"[-1,-1,2,-1,2,-1,2,-1,-1]"
3,0.000116189,0.5065531,16,K16,4,-0.043947533,0|3|7,"[2,-1,-1,2,-1,-1,-1,2,-1]"
4,-0.000900579,0.662398,79,K79,8,-0.308347898,4|7|8,"[-1,-1,-1,-1,2,-1,-1,2,2]"
5,0.001259906,0.3922333,7,K07,96,-0.026491855,0|2|3,"[2,-1,2,2,-1,-1,-1,-1,-1]"
6,-0.000137537,0.56963795,22,K22,2,0.1178824,0|5|6,"[2,-1,-1,-1,-1,2,2,-1,-1]"
7,-1.37E-05,0.068948135,54,K54,192,-0.408813493,2|4|5,"[-1,-1,2,-1,2,2,-1,-1,-1]"
8,0.000581266,0.4703164,1,K01,192,0.055114282,0|1|3,"[2,2,-1,2,-1,-1,-1,-1,-1]"
9,-0.000846348,0.63163626,38,K38,8,0.056533086,1|3|8,"[-1,2,-1,2,-1,-1,-1,-1,2]"
10,3.41E-05,0.15842742,12,K12,64,-0.158048926,0|2|8,"[2,-1,2,-1,-1,-1,-1,-1,2]"
11,-2.57E-05,0.527728,82,K82,96,-0.033186433,5|7|8,"[-1,-1,-1,-1,-1,2,-1,2,2]"
12,-0.001603472,0.9970248,27,K27,256,0.254399704,0|7|8,"[2,-1,-1,-1,-1,-1,-1,2,2]"
13,0.001551255,0.39117223,71,K71,32,0.064398125,3|6|7,"[-1,-1,-1,2,-1,-1,2,2,-1]"
14,-0.000509777,0.5805735,26,K26,128,0.388227827,0|6|8,"[2,-1,-1,-1,-1,-1,2,-1,2]"
15,-0.000524465,0.20207682,70,K70,96,-0.271216477,3|5|8,"[-1,-1,-1,2,-1,2,-1,-1,2]"
16,9.69E-05,0.50035024,4,K04,48,-0.32154629,0|1|6,"[2,2,-1,-1,-1,-1,2,-1,-1]"
17,-0.000143777,0.63028026,4,K04,2,0.28065029,0|1|6,"[2,2,-1,-1,-1,-1,2,-1,-1]"
18,0.000361364,0.44962442,22,K22,192,-0.342482087,0|5|6,"[2,-1,-1,-1,-1,2,2,-1,-1]"
